angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.05,,"(264, 123, 128, 128)",,0.0,,0.36,,0.01,,0.38,,0.16,,0.03,
0.03,,"(265, 123, 127, 127)",,0.0,,0.15,,0.02,,0.68,,0.11,,0.01,
0.04,,"(265, 126, 124, 124)",,0.0,,0.54,,0.08,,0.06,,0.04,,0.24,
0.05,,"(265, 128, 128, 128)",,0.0,,0.61,,0.07,,0.04,,0.1,,0.13,
0.11,,"(265, 129, 128, 128)",,0.0,,0.18,,0.23,,0.36,,0.08,,0.04,
0.04,,"(267, 128, 131, 131)",,0.0,,0.4,,0.05,,0.33,,0.11,,0.08,
0.06,,"(272, 131, 125, 125)",,0.0,,0.46,,0.0,,0.27,,0.19,,0.02,
0.11,,"(268, 131, 128, 128)",,0.0,,0.2,,0.0,,0.43,,0.25,,0.0,
0.16,,"(269, 132, 130, 130)",,0.0,,0.24,,0.0,,0.27,,0.33,,0.0,
0.18,,"(268, 132, 133, 133)",,0.0,,0.22,,0.0,,0.3,,0.29,,0.0,
0.09,,"(266, 136, 131, 131)",,0.0,,0.4,,0.0,,0.21,,0.29,,0.0,
0.13,,"(266, 137, 132, 132)",,0.0,,0.24,,0.04,,0.43,,0.14,,0.03,
0.38,,"(264, 138, 134, 134)",,0.0,,0.26,,0.13,,0.05,,0.12,,0.07,
0.22,,"(263, 137, 135, 135)",,0.0,,0.27,,0.2,,0.09,,0.12,,0.1,
0.02,,"(264, 136, 124, 124)",,0.0,,0.15,,0.01,,0.08,,0.03,,0.71,
0.08,,"(263, 135, 128, 128)",,0.0,,0.47,,0.01,,0.24,,0.12,,0.08,
0.15,,"(264, 137, 124, 124)",,0.0,,0.22,,0.0,,0.36,,0.26,,0.01,
0.14,,"(264, 136, 125, 125)",,0.0,,0.14,,0.0,,0.48,,0.24,,0.0,
0.16,,"(262, 135, 129, 129)",,0.0,,0.26,,0.02,,0.35,,0.15,,0.06,
0.05,,"(265, 134, 132, 132)",,0.0,,0.31,,0.15,,0.31,,0.1,,0.07,
0.05,,"(268, 134, 130, 130)",,0.0,,0.4,,0.1,,0.24,,0.15,,0.06,
0.03,,"(267, 133, 131, 131)",,0.0,,0.42,,0.14,,0.21,,0.15,,0.05,
0.1,,"(262, 131, 134, 134)",,0.0,,0.18,,0.21,,0.34,,0.1,,0.06,
0.05,0.26,"(262, 133, 128, 128)","(280, 200, 94, 94)",0.0,0.02,0.21,0.1,0.11,0.05,0.4,0.08,0.08,0.48,0.15,0.02
0.05,,"(266, 130, 133, 133)",,0.0,,0.22,,0.04,,0.49,,0.15,,0.05,
